"ScalarSpectralIndex","TensorToScalarRatio"
0.9522977346278316,0
0.9522977346278316,0.0012345679012345512
0.9522977346278316,0.005555555555555536
0.9524271844660194,0.009259259259259245
0.9526860841423948,0.015432098765432056
0.9530744336569579,0.021604938271604895
0.9533333333333333,0.027160493827160487
0.9537216828478964,0.03209876543209875
0.9539805825242718,0.03765432098765428
0.9543689320388349,0.04259259259259257
0.9548867313915856,0.048148148148148134
0.9551456310679611,0.05185185185185184
0.9555339805825241,0.055555555555555525
0.9559223300970873,0.061111111111111116
0.9564401294498381,0.06728395061728393
0.9569579288025889,0.07222222222222219
0.9574757281553398,0.07777777777777778
0.9581229773462783,0.08271604938271604
0.9588996763754044,0.0882716049382716
0.9594174757281553,0.09320987654320986
0.9600647249190938,0.09876543209876543
0.96084142394822,0.10617283950617282
0.961229773462783,0.10925925925925925
0.9618770226537217,0.11296296296296293
0.9626537216828478,0.11666666666666664
0.9636893203883494,0.12037037037037038
0.9648543689320388,0.12345679012345678
0.9658899676375404,0.1265432098765432
0.9665372168284789,0.12777777777777777
0.9677022653721682,0.12962962962962962
0.9686084142394822,0.12901234567901235
0.9693851132686083,0.12777777777777777
0.9700323624595468,0.1259259259259259
0.9705501618122977,0.12345679012345678
0.9709385113268607,0.12037037037037038
0.9713268608414238,0.11666666666666664
0.9718446601941747,0.1111111111111111
0.9723624595469255,0.10493827160493827
0.9727508090614886,0.10123456790123456
0.9732686084142395,0.0962962962962963
0.9737864077669902,0.09135802469135801
0.9741747572815533,0.08703703703703702
0.9744336569579287,0.08271604938271604
0.9746925566343041,0.07777777777777778
0.9749514563106796,0.07222222222222219
0.9754692556634303,0.06234567901234564
0.9755987055016181,0.05987654320987654
0.9758576051779935,0.0561728395061728
0.9761165048543688,0.05246913580246912
0.9762459546925566,0.04876543209876541
0.9763754045307442,0.045679012345678977
0.976504854368932,0.043209876543209874
0.9766343042071197,0.038271604938271586
0.9767637540453074,0.0339506172839506
0.9767637540453074,0.030246913580246892
0.9768932038834951,0.02654320987654321
0.9770226537216827,0.01975308641975304
0.9771521035598705,0.01481481481481478
0.9771521035598705,0.00864197530864197
0.9771521035598705,0.0018518518518518268
0.9771521035598705,0
